unique_ID,long_cite,short_cite,peer_reviewed,coder,expt_num,expt_condition,same_infant,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,d,d_var,corr,test_lang,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,mean_vocab,procedure_secondary,cue_type,m_rt_seconds,notes
bedford2012,"Bedford, R., Elsabbagh, M., Gliga, T., Pickles, A., Senju, A., Charman, T., & Johnson, M. H. (2012). Precursors to social and communication difficulties in infants at-risk for autism: gaze following and attentional engagement. Journal of autism and developmental disorders, 42(10), 2208-2218.","Bedford et al., 2012",yes,KM,1,7mo,bedford2012long,eye-tracking,test_only,GF,target_selection,between,English,typical,,,38,,222.07,,0.40,,0.25,,,,,,,,,,,,,,12.00,NA,,looking,NA,on a screen
bedford2012,"Bedford, R., Elsabbagh, M., Gliga, T., Pickles, A., Senju, A., Charman, T., & Johnson, M. H. (2012). Precursors to social and communication difficulties in infants at-risk for autism: gaze following and attentional engagement. Journal of autism and developmental disorders, 42(10), 2208-2218.","Bedford et al., 2012",yes,KM,1,13mo,bedford2012long,eye-tracking,test_only,GF,target_selection,between,English,typical,,,38,,419.8,,0.57,,0.18,,,,,,,,,,,,,,12.00,NA,,looking,NA,on a screen
brooks2008,"Brooks, R., & Meltzoff, A. N. (2008). Infant gaze following and pointing predict accelerated vocabulary growth through two years of age: A longitudinal, growth curve modeling study. Journal of child language, 35(01), 207-220.",Brooks & Meltzoff 2008,yes,KM,1,10mo,,eye-tracking,test_only,GF,target_selection,between,English,typical,,,32.00,,309.07,,0.32,,0.29,,,,,,,,,,,,,,4.00,3.00,,looking,NA,latency correct score = total latency / number correct
butler2009,"Butler, S. C., Caron, A. J., & Brooks, R. (2000). Infant understanding of the referential nature of looking. Journal of Cognition and Development, 1(4), 359-377.","Butler, Caron, & Brooks 2009",yes,KM,1,14moSilent,butler2009_14mo,eye-tracking,test_only,GF,target_selection,between,English,typical,,,44.00,,446.87,,0.63,,0.19,,,,,,,,,,,,,,4.00,NA,,looking,NA,"exp1, no-screen condition "
butler2009,"Butler, S. C., Caron, A. J., & Brooks, R. (2000). Infant understanding of the referential nature of looking. Journal of Cognition and Development, 1(4), 359-377.","Butler, Caron, & Brooks 2009",yes,KM,1,14moWow,butler2009_14mo,eye-tracking,test_only,GF,target_selection,between,English,typical,,,44.00,,446.87,,0.64,,0.34,,,,,,,,,,,,,,4.00,NA,,looking-vocalization ,NA,"exp1, no-screen condition "
butler2009,"Butler, S. C., Caron, A. J., & Brooks, R. (2000). Infant understanding of the referential nature of looking. Journal of Cognition and Development, 1(4), 359-377.","Butler, Caron, & Brooks 2009",yes,KM,1,18moSilent,butler2009_18mo,eye-tracking,test_only,GF,target_selection,between,English,typical,,,40.00,,541.48,,0.41,,0.19,,,,,,,,,,,,,,4.00,NA,,looking,NA,"exp1, no-screen condition "
butler2009,"Butler, S. C., Caron, A. J., & Brooks, R. (2000). Infant understanding of the referential nature of looking. Journal of Cognition and Development, 1(4), 359-377.","Butler, Caron, & Brooks 2009",yes,KM,1,18moWow,butler2009_18mo,eye-tracking,test_only,GF,target_selection,between,English,typical,,,40.00,,541.48,,0.69,,0.26,,,,,,,,,,,,,,4.00,NA,,looking-vocalization ,NA,"exp1, no-screen condition "
caron2002,"Caron, A. J., Butler, S., & Brooks, R. (2002). Gaze following at 12 and 14 months: Do the eyes matter?. British Journal of Developmental Psychology,20(2), 225-239.","Caron, Butler, & Brooks 2002",yes,KM,1,12moSilent,caron2002_12mo,eye-tracking,test_only,GF,target_selection,between,English,typical,,,16.00,,376.04,,0.31,,0.21,,,,,,,,,,,,,,4.00,NA,,looking,2.82,just coded H/E and H/E wow conditions
caron2002,"Caron, A. J., Butler, S., & Brooks, R. (2002). Gaze following at 12 and 14 months: Do the eyes matter?. British Journal of Developmental Psychology,20(2), 225-239.","Caron, Butler, & Brooks 2002",yes,KM,1,12moWow,caron2002_12mo,eye-tracking,test_only,GF,target_selection,between,English,typical,,,16.00,,376.04,,0.41,,0.21,,,,,,,,,,,,,,4.00,NA,,looking-vocalization ,2.85,just coded H/E and H/E wow conditions
caron2002,"Caron, A. J., Butler, S., & Brooks, R. (2002). Gaze following at 12 and 14 months: Do the eyes matter?. British Journal of Developmental Psychology,20(2), 225-239.","Caron, Butler, & Brooks 2002",yes,KM,1,14moSilent,caron2002_14mo,eye-tracking,test_only,GF,target_selection,between,English,typical,,,16.00,,440.88,,0.66,,0.30,,,,,,,,,,,,,,4.00,NA,,looking,2.82,just coded H/E and H/E wow conditions
